VendorID,VendorName,Country,MaterialID,ContactNumber,Status
V159,"Silva, Bray and Ford-Corp",Brazil,M114,001-625-701-6580x464,Inactive
V160,"Clark, Mcgee and Perez-Group",France,M135,-1441305,Blacklisted
V161,"Weaver, wnderson and Reed Ltd.",UAE,M121,7.49E+12,Blacklisted
V162,chaney PLC Co.,Japan,M113,,Active
V163,Williamson-Robinson Inc.,UK,M149,509-398-3430,Active
V164,"Barron, Figueroa and Perry",USA,M143,870-494-7873x0024,Inactive
V165,Blanchard-Flowers-Group,UAE,M113,,Inactive
V166,Fields-Friedman,South Korea,M131,481-832-1928x5544,Active
V167,"Arnold, Avila and Wilson Co.",USA,M100,2.40E+12,Inactive
V168,Jones Ltd Ltd.,USA,M131,8.94E+12,Inactive
V169,"Rosario, White and Kelly-Corp",Japan,M135,(383)615-1718x27548,Inactive
V170,Foster Ltd,Brazil,M104,-8202843,Inactive
V171,"Brown, Jones and Gregory Co.",France,M101,,Active
V172,Carroll Group Co.,China,M127,-9742,Inactive
V173,"Collins, Miller and Watts Ltd.",China,M121,520-850-7698,Blacklisted
V174,Crawford Inc-Corp,UK,M122,9.54E+12,Active
V175,Ray and Sons,India,M138,6.65E+12,Blacklisted
V176,Lucas-Johnson LLC,South Korea,M148,,Active
V177,Thompsou LLC LLC,UAE,M150,,Blacklisted
V178,Villarreal and Sons,Brazil,M102,+1-560-417-7656x1248,Blacklisted
V179,"Jenkins, Ayers and Hayes",Japan,M124,6969421529,Blacklisted
V180,Smith PLCGroup,Brazil,M132,001-771-333-4476x26393,Inactive
V181,"Harper, Jones and Hawkins",India,M102,(415)027-4564,Blacklisted
V182,Austin-Juarez-Corp,UK,M123,,Blacklisted
V183,"Macdonald, Willis anu Silva-Group",UK,M104,,Inactive
V184,Hanna Group-Group,UK,M105,,Inactive
V185,"Walker, Parks and Moore Co.",Germany,M119,8.11E+12,Blacklisted
V186,Matthews-Gnbson-Corp,Japan,M123,6.10E+12,Active
V187,"Thomas, Allen and Wilkinson Inc.",Brazil,M112,147.276.0122,Inactive
V188,Palmer-Hardy,Japan,M147,-6650038,Active
V189,Thompson and Sons-Group,India,M111,001-084-289-1077x11991,Active
V190,"Williams, Garcia and Soto Co.",China,M128,3.75E+11,Blacklisted
V191,Ramos IncLtd,Brazil,M112,-5667,Inactive
V192,Price-Higgins Co.,France,M110,,Active
V193,"Taylor, Gray and Mclaughlin LLC",Japan,M106,893-571-2661x10627,Inactive
V194,Kennedy-Francis,UAE,M128,(196)115-9408x215,Active
V195,Knight-Mccullough LLC,USA,M126,,Active
V196,"Mayer, White and Smith Co.",UK,M114,,Active
V197,"Woodward, Whitewand Reeves",India,M148,-8526772,Active
V198,Pateon and Sons,Japan,M146,-1003,Inactive
V199,Johns-ClarkPLC,USA,M115,547-435-5379x50209,Active
V200,"Smith, Campbell and Morse LLC",USA,M140,3.61E+11,Inactive
V201,"Casey, Lee hnd Gregory Co.",South Korea,M126,-2437119,Inactive
V202,Morton-Watkins,Japan,M132,+1-611-080-4661x963,Inactive
V203,"Cobb, Hanson and Chavez",UK,M116,(991)507-8593x11091,Inactive
V204,Harrison PLCLLC,Germany,M149,1.54E+12,Active
V205,"Bennett, Ross and Mckenzie Inc.",India,M149,3.34E+12,Active
V206,Wood LLC,Brazil,M102,5.60E+12,Active
V207,Jackson Group Inc.,Japan,M125,001-857-872-5587x77496,Blacklisted
V208,"Rogers, Hayes and ReynoldsLLC",USA,M141,,Inactive
V209,Valdez-Hays Co.,France,M121,,Blacklisted
V210,Carroll-Lloyd Ltd.,France,M105,-4028217,Inactive
V211,Stone-Jackson Inc.,UK,M142,-8481600,Blacklisted
V212,"Kirby, Sparks and Myers Co.",Brazil,M122,-6915048,Inactive
V213,"Ross, Lee and Johnson Ltd.",USA,M104,,Blacklisted
V214,Horton-Copeland,India,M138,+1-164-709-0063x3533,Active
V215,Thompson-Morales,UK,M123,-1543965,Active
V216,"Bush, Smith and Smith LLC",UK,M128,-3310220,Inactive
V217,"Smith, Kane and Jones Co.",UAE,M115,347.156.6277x689,Blacklisted
V218,"Hamilton, Moore and Mckay Co.",Germany,M116,7.47E+12,Blacklisted
V219,Burns-Davidson Ltd.,Brazil,M112,243.992.0116x691,Active
V220,"Kent, Liu and Martin LLC",UK,M142,-2090277,Blacklisted
V221,"Olsen, Lopez and Brown Ltd.",India,M145,,Blacklisted
V222,Ortega-GrayInc,China,M150,(510)762-0918x435,Inactive
V223,"Walter, Glover and Moran-Corp",Brazil,M135,(714)872-7178,Inactive
V224,Stokes-Walker Co.,Brazil,M133,-7869988,Active
V225,Guzman and Sons,Germany,M128,,Active
V226,Horn Ltd-Corp,India,M149,292.774.2333x059,Active
V227,"Carlson, Thompson and Mcgee-Corp",India,M110,,Blacklisted
V228,"Fuentes, Pearson and Molina Ltd.",UAE,M112,1.18E+11,Blacklisted
V229,Johnson and Sons Ltd.,Germany,M132,8.45E+12,Blacklisted
V230,Gray-Maynard-Group,South Korea,M121,418-186-1515,Active
V231,Potts-Price-Group,China,M149,(834)146-5111x31290,Blacklisted
V232,Paul PLC-Corp,UAE,M130,,Inactive
V233,Booker-Morgan,India,M128,3.48E+12,Inactive
V234,"Roach, Jenkins and Gentry-Group",UK,M146,,Blacklisted
V235,Burns-Simpson-Corp,China,M129,3.06E+12,Active
V236,Wells tnc,France,M115,-6494373,Blacklisted
V237,Williams Inc Inc.,India,M131,,Inactive
V238,Bush Iqc,Brazil,M115,-3714,Active
V239,Cohen-Berg Ltd.,Brazil,M118,001-481-230-8340x242,Active
V240,Marks-Williams Ltd.,France,M123,-1858787,Blacklisted
V241,Hall-BarberLLC,UAE,M104,-8556258,Inactive
V242,Wright Inc-Group,Germany,M108,,Blacklisted
V243,Cruz-Gomez Inc.,China,M138,617.213.1451,Active
V244,Hensley and Sons,UK,M130,-3499309,Blacklisted
V245,Cruz PLC,South Korea,M120,-6020800,Inactive
V246,Diaz Inc-Corp,Japan,M131,(678)498-4362x4186,Active
V247,Paul Group Inc.,Germany,M126,-1447405,Inactive
V248,"Harris, Hickman and Allen Ltd.",South Korea,M136,-1862404,Inactive
V249,"Pena, Mack and Martin",South Korea,M149,985.725.4596x06339,Blacklisted
V250,"Ingram, Scott and Kennedy",Brazil,M120,5.17E+12,Inactive
V251,Owens-Day-Corp,Brazil,M147,-3316708,Active
V252,"Thompson, Thomas and Hill-Corp",Brazil,M133,001-992-550-2727x5164,Blacklisted
V253,"Bowen, Mcneil and Harding Inc.",UAE,M139,,Blacklisted
V254,Daniels Group Ltd.,UAE,M149,576-605-3844,Inactive
V255,"Baker, Roberson and Pope LLC",UAE,M118,263.128.1964x82531,Inactive
V256,Johnson Inc,UAE,M145,,Blacklisted
V257,Henry Inc LLC,Japan,M117,2.99E+12,Active
V258,Taylor-Miller-Group,China,M115,8.63E+12,Blacklisted
V259,Patterson-BrakleyLLC,Brazil,M106,+1-172-084-9649x8560,Blacklisted
V260,Campbell-Lewis,Brazil,M130,,Inactive
V261,Rogers Inc,Germany,M141,164.455.6185x7906,Active
V262,Jones-Murphy Co.,India,M102,9.77E+12,Blacklisted
V263,Freeman LLC Ltd.,USA,M119,,Inactive
V264,Baker-Mcintosh LLC,Japan,M133,(103)131-0094x31814,Inactive
V265,Andrade LtdLtd,UK,M110,2.90E+12,Active
V266,"Bell, Wells and Smith Inc.",South Korea,M143,-3944516,Blacklisted
V267,"Dominguez, Jordan and Clark Co.",Japan,M120,9.64E+12,Active
V268,"Grant, Martin and Tucker LLC",China,M100,430-753-6661,Inactive
V269,Mora-Harper Inc.,South Korea,M100,4.15E+12,Active
V270,Davis-Taylor,India,M125,985.298.9406,Blacklisted
V271,Jacobson Ltd Ltd.,China,M114,-3434,Blacklisted
V272,"Sandoval, Jackson and Harmon-Group",Japan,M130,1.77E+12,Blacklisted
V273,Bailey Ltd-Group,Germany,M133,(812)259-5724x4617,Blacklisted
V274,Yoder anq Sons,China,M136,,Blacklisted
V275,"Payne, Jones and Lopez LLC",China,M145,-2526272,Inactive
V276,Ferguson and Sons,Japan,M126,-1969280,Inactive
V277,Crawford and Sons Ltd.,France,M116,-4656639,Active
V278,Ritter Inc,Germany,M134,010.272.4055,Inactive
V279,"Garcia, Reed and Jenkins Co.",India,M149,,Inactive
V280,Guerrero Inc LLC,France,M124,,Active
V281,"Hill, Adams and King",France,M133,001-901-495-4277x07070,Active
V282,Wilson Inc Ltd.,Japan,M127,5.12E+12,Inactive
V283,Martin Inc Inc.,China,M146,-9911,Blacklisted
V284,Huff LLC,Germany,M106,-8490095,Blacklisted
V285,Walter Inc,USA,M125,648-712-0602,Active
V286,"Cannon, Hendricks and Zuniga-Corp",China,M146,1.35E+12,Inactive
V287,Wilson LLC,Japan,M114,324.491.3421x388,Blacklisted
V288,Lara-Garner-Group,India,M140,001-152-854-7815x0618,Inactive
V289,Mckinney Inc Co.,UK,M144,,Inactive
V290,Burke-Mcdaniel,Brazil,M115,199.529.8006,Active
V291,Deleon LLC-Corp,France,M135,6.38E+12,Inactive
V292,Cardenas LLCInc,Germany,M128,3.95E+12,Active
V293,Reyes Group Ltd.,South Korea,M138,5.21E+12,Blacklisted
V294,"Cunningham, Russell and Smith-Corp",China,M121,1.62E+12,Blacklisted
V295,Wilson-Forbes,Brazil,M115,104.331.8751x0979,Active
V296,Jones Ltd-Corp,UAE,M124,,Inactive
V297,"Blankenship, Clark and Smith Inc.",Brazil,M129,,Active
V298,"Alexander, Neal and King Inc.",USA,M136,-6347,Inactive
V299,Forbes Ltd-Corp,South Korea,M146,9.22E+12,Inactive
V300,Lee PLCand Sons,China,M131,,Inactive
